Subject;Lextale;Num_Mistakes;Target;Outcome;Language
50;67,5;0;Non-word;Lexical;L1
50;67,5;1;Non-word;Lexical;L2
50;67,5;1;Non-word;Non-lexical;L1
50;67,5;0;Non-word;Non-lexical;L2
50;67,5;0;Word;Lexical;L1
50;67,5;1;Word;Lexical;L2
50;67,5;0;Word;Non-lexical;L2
50;67,5;0;Word;Non-lexical;L1
51;60;1;Non-word;Lexical;L1
51;60;0;Non-word;Lexical;L2
51;60;1;Non-word;Non-lexical;L2
51;60;1;Non-word;Non-lexical;L1
51;60;0;Word;Lexical;L1
51;60;2;Word;Lexical;L2
51;60;0;Word;Non-lexical;L1
51;60;0;Word;Non-lexical;L2
52;72,5;0;Non-word;Lexical;L1
52;72,5;0;Non-word;Lexical;L2
52;72,5;0;Non-word;Non-lexical;L1
52;72,5;0;Non-word;Non-lexical;L2
52;72,5;0;Word;Lexical;L1
52;72,5;2;Word;Lexical;L2
52;72,5;0;Word;Non-lexical;L2
52;72,5;0;Word;Non-lexical;L1
53;72,5;0;Non-word;Lexical;L2
53;72,5;1;Non-word;Lexical;L1
53;72,5;1;Non-word;Non-lexical;L1
53;72,5;0;Non-word;Non-lexical;L2
53;72,5;1;Word;Lexical;L1
53;72,5;0;Word;Lexical;L2
53;72,5;0;Word;Non-lexical;L1
53;72,5;0;Word;Non-lexical;L2
54;68,75;0;Non-word;Lexical;L1
54;68,75;0;Non-word;Lexical;L2
54;68,75;0;Non-word;Non-lexical;L1
54;68,75;0;Non-word;Non-lexical;L2
54;68,75;1;Word;Lexical;L1
54;68,75;1;Word;Lexical;L2
54;68,75;0;Word;Non-lexical;L2
54;68,75;0;Word;Non-lexical;L1
55;70;0;Non-word;Lexical;L1
55;70;0;Non-word;Lexical;L2
55;70;0;Non-word;Non-lexical;L1
55;70;1;Non-word;Non-lexical;L2
55;70;0;Word;Lexical;L2
55;70;0;Word;Lexical;L1
55;70;0;Word;Non-lexical;L1
55;70;0;Word;Non-lexical;L2
56;67,5;0;Non-word;Lexical;L1
56;67,5;0;Non-word;Lexical;L2
56;67,5;1;Non-word;Non-lexical;L1
56;67,5;0;Non-word;Non-lexical;L2
56;67,5;0;Word;Lexical;L1
56;67,5;0;Word;Lexical;L2
56;67,5;0;Word;Non-lexical;L2
56;67,5;0;Word;Non-lexical;L1
57;93,75;0;Non-word;Lexical;L1
57;93,75;1;Non-word;Lexical;L2
57;93,75;0;Non-word;Non-lexical;L1
57;93,75;0;Non-word;Non-lexical;L2
57;93,75;0;Word;Lexical;L1
57;93,75;0;Word;Lexical;L2
57;93,75;0;Word;Non-lexical;L1
57;93,75;0;Word;Non-lexical;L2
58;76,25;0;Non-word;Lexical;L1
58;76,25;0;Non-word;Lexical;L2
58;76,25;0;Non-word;Non-lexical;L1
58;76,25;0;Non-word;Non-lexical;L2
58;76,25;0;Word;Lexical;L1
58;76,25;0;Word;Lexical;L2
58;76,25;0;Word;Non-lexical;L1
58;76,25;0;Word;Non-lexical;L2
59;62,5;0;Non-word;Lexical;L1
59;62,5;1;Non-word;Lexical;L2
59;62,5;0;Non-word;Non-lexical;L1
59;62,5;0;Non-word;Non-lexical;L2
59;62,5;0;Word;Lexical;L1
59;62,5;0;Word;Lexical;L2
59;62,5;1;Word;Non-lexical;L1
59;62,5;0;Word;Non-lexical;L2
60;75;0;Non-word;Lexical;L1
60;75;0;Non-word;Lexical;L2
60;75;0;Non-word;Non-lexical;L1
60;75;0;Non-word;Non-lexical;L2
60;75;0;Word;Lexical;L1
60;75;0;Word;Lexical;L2
60;75;0;Word;Non-lexical;L1
60;75;0;Word;Non-lexical;L2
61;68,75;0;Non-word;Lexical;L1
61;68,75;1;Non-word;Lexical;L2
61;68,75;0;Non-word;Non-lexical;L2
61;68,75;0;Non-word;Non-lexical;L1
61;68,75;0;Word;Lexical;L1
61;68,75;1;Word;Lexical;L2
61;68,75;0;Word;Non-lexical;L1
61;68,75;0;Word;Non-lexical;L2
62;73,75;0;Non-word;Lexical;L1
62;73,75;0;Non-word;Lexical;L2
62;73,75;0;Non-word;Non-lexical;L1
62;73,75;0;Non-word;Non-lexical;L2
62;73,75;0;Word;Lexical;L1
62;73,75;0;Word;Lexical;L2
62;73,75;0;Word;Non-lexical;L1
62;73,75;0;Word;Non-lexical;L2
