Subject;Lextale;Num_Mistakes;Experiment;Outcome;Language
158;73,75;0;2;Lexical;L2
158;73,75;0;2;Non-lexical;L1
158;73,75;0;2;Non-lexical;L2
159;96,25;0;2;Lexical;L1
159;96,25;1;2;Lexical;L2
159;96,25;0;2;Non-lexical;L1
159;96,25;0;2;Non-lexical;L2
160;73,75;0;2;Lexical;L1
160;73,75;1;2;Lexical;L2
160;73,75;0;2;Non-lexical;L1
160;73,75;1;2;Non-lexical;L2
161;80;0;2;Lexical;L1
161;80;0;2;Lexical;L2
161;80;0;2;Non-lexical;L1
161;80;0;2;Non-lexical;L2
162;77,5;2;2;Lexical;L1
162;77,5;0;2;Lexical;L2
162;77,5;3;2;Non-lexical;L1
162;77,5;0;2;Non-lexical;L2
163;53,75;0;2;Lexical;L1
163;53,75;1;2;Lexical;L2
163;53,75;0;2;Non-lexical;L1
163;53,75;0;2;Non-lexical;L2
164;96,25;0;2;Lexical;L1
164;96,25;0;2;Lexical;L2
164;96,25;0;2;Non-lexical;L1
164;96,25;0;2;Non-lexical;L2
165;67,5;0;2;Lexical;L1
165;67,5;0;2;Lexical;L2
165;67,5;0;2;Non-lexical;L1
165;67,5;0;2;Non-lexical;L2
166;80;0;2;Lexical;L1
166;80;0;2;Lexical;L2
166;80;0;2;Non-lexical;L1
166;80;0;2;Non-lexical;L2
167;83,75;0;2;Lexical;L2
167;83,75;0;2;Lexical;L1
167;83,75;0;2;Non-lexical;L1
167;83,75;0;2;Non-lexical;L2
168;63,75;0;2;Lexical;L2
168;63,75;1;2;Lexical;L1
168;63,75;0;2;Non-lexical;L1
168;63,75;0;2;Non-lexical;L2
169;62,5;0;2;Lexical;L1
169;62,5;0;2;Lexical;L2
169;62,5;0;2;Non-lexical;L1
169;62,5;0;2;Non-lexical;L2
170;70;0;2;Lexical;L1
170;70;1;2;Lexical;L2
170;70;0;2;Non-lexical;L1
170;70;1;2;Non-lexical;L2
171;92,5;0;2;Lexical;L1
171;92,5;0;2;Lexical;L2
171;92,5;0;2;Non-lexical;L1
171;92,5;0;2;Non-lexical;L2
172;73,75;0;2;Lexical;L1
172;73,75;0;2;Lexical;L2
172;73,75;0;2;Non-lexical;L2
172;73,75;1;2;Non-lexical;L1
173;82,5;0;2;Lexical;L2
173;82,5;0;2;Lexical;L1
173;82,5;0;2;Non-lexical;L1
173;82,5;0;2;Non-lexical;L2
174;82,5;0;2;Lexical;L1
174;82,5;0;2;Lexical;L2
174;82,5;0;2;Non-lexical;L1
